template_key,template_name,mode,distance_nm,angle_deg,target_range_nm,power_coeff_db,radar_direction_gain_db,jammer_mode_power_db,effective_jammer_power_db,jsr_db,jam_probability
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,0,20.0,16.0,6.38160282421013e-05,23.0,23.0,-9.585316797214578,0.12818939790776404
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,10,20.0,16.0,-18.20182644634626,23.0,23.0,-27.78720705958908,0.0038438045950693624
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,20,20.0,16.0,-23.651364519313827,23.0,23.0,-33.23674513255664,0.0012957758611973963
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,30,20.0,16.0,-29.99899108978337,23.0,23.0,-39.584371703026186,0.0003644071344484099
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,40,20.0,16.0,-36.0,23.0,23.0,-45.58538061324282,0.0001097631284444396
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,50,20.0,16.0,-36.0,23.0,23.0,-45.58538061324282,0.0001097631284444396
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,60,20.0,16.0,-36.0,23.0,23.0,-45.58538061324282,0.0001097631284444396
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,70,20.0,16.0,-36.0,23.0,23.0,-45.58538061324282,0.0001097631284444396
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,80,20.0,16.0,-36.0,23.0,23.0,-45.58538061324282,0.0001097631284444396
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,50,90,20.0,16.0,-36.0,23.0,23.0,-45.58538061324282,0.0001097631284444396
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,0,20.0,16.0,6.38160282421013e-05,23.0,23.0,-11.168941718167073,0.09675705207507594
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,10,20.0,16.0,-18.20182644634626,23.0,23.0,-29.370831980541574,0.002803256256237393
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,20,20.0,16.0,-23.651364519313827,23.0,23.0,-34.82037005350914,0.0009443451798288627
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,30,20.0,16.0,-29.99899108978337,23.0,23.0,-41.16799662397868,0.00026550819054710687
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,40,20.0,16.0,-36.0,23.0,23.0,-47.169005534195314,7.996823391003116e-05
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,50,20.0,16.0,-36.0,23.0,23.0,-47.169005534195314,7.996823391003116e-05
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,60,20.0,16.0,-36.0,23.0,23.0,-47.169005534195314,7.996823391003116e-05
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,70,20.0,16.0,-36.0,23.0,23.0,-47.169005534195314,7.996823391003116e-05
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,80,20.0,16.0,-36.0,23.0,23.0,-47.169005534195314,7.996823391003116e-05
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,60,90,20.0,16.0,-36.0,23.0,23.0,-47.169005534195314,7.996823391003116e-05
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,70,0,20.0,16.0,6.38160282421013e-05,23.0,23.0,-12.507877510779338,0.07574780524396198
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,70,10,20.0,16.0,-18.20182644634626,23.0,23.0,-30.70976777315384,0.002146102305819532
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,70,20,20.0,16.0,-23.651364519313827,23.0,23.0,-36.159305846121406,0.0007226510590789825
mid_fcr_compact,Mid-Generation Fire Control Radar,broadcast,70,30,20.0,16.0,-29.99899108978337,23.0,23.0,-42.50693241659095,0.00020314518263784287
